name,last,affiliation,freq,lastfive,dblp,orcid
M. Frans Kaashoek,Kaashoek,"MIT, Cambridge, USA",49,9,https://dblp.org/pid/k/MFransKaashoek,https://orcid.org/0000-0001-7098-586X
Nickolai Zeldovich,Zeldovich,"Massachusetts Institute of Technology, Cambridge, USA",39,11,https://dblp.org/pid/99/5780,
Haibo Chen,Chen,"Shanghai Jiao Tong University, Institute of Parallel and Distributed Systems,China",31,22,https://dblp.org/pid/31/6601-1,https://orcid.org/0000-0002-9720-0361
Ion Stoica,Stoica,"University of California, Berkeley, USA",28,7,https://dblp.org/pid/s/IonStoica,https://orcid.org/0000-0002-5373-0088
Gregory R. Ganger,Ganger,"Carnegie Mellon University, Pittsburgh, USA",23,10,https://dblp.org/pid/g/GregoryRGanger,https://orcid.org/0000-0002-3065-7316
Lidong Zhou,Zhou,Microsoft Research,23,10,https://dblp.org/pid/z/LidongZhou,https://orcid.org/0000-0002-7258-3116
Andrea C. Arpaci-Dusseau,Arpaci-Dusseau,"University of Wisconsin-Madison, Madison, WI, USA",21,3,https://dblp.org/pid/a/AndreaCArpaciDusseau,https://orcid.org/0000-0001-8618-2738
Remzi H. Arpaci-Dusseau,Arpaci-Dusseau,"University of Wisconsin-Madison, Madison, WI, USA",21,3,https://dblp.org/pid/a/RemziHArpaciDusseau,https://orcid.org/0000-0001-9965-7704
Henry M. Levy,Levy,"University of Washington, Seattle, Washington, USA",20,2,https://dblp.org/pid/l/HenryMLevy,https://orcid.org/0009-0008-7786-8541
Jason Flinn,Flinn,Facebook,20,4,https://dblp.org/pid/14/85,
David Mazières,Mazières,"Stanford University, Department of Computer Science, CA, USA",19,3,https://dblp.org/pid/m/DMazieres,https://orcid.org/0000-0002-1253-6449
Fan Yang,Yang,"Microsoft Research Asia, Beijing, China",18,14,https://dblp.org/pid/29/3081-24,https://orcid.org/0000-0002-0378-060X
Jason Nieh,Nieh,"Columbia University, New York City, USA",17,8,https://dblp.org/pid/n/JasonNieh,https://orcid.org/0009-0005-8301-4479
Ding Yuan,Yuan,"University of Toronto, Toronto, Canada",17,6,https://dblp.org/pid/230/9043-4,https://orcid.org/0000-0001-6322-0295
Barbara Liskov,Liskov,Massachusetts Institute of Technology,17,0,https://dblp.org/pid/l/BarbaraLiskov,
Thomas E. Anderson,Anderson,"University of Washington, Seattle, Washington, USA",16,0,https://dblp.org/pid/a/ThomasEAnderson,https://orcid.org/0009-0004-2951-0343
Shan Lu,Lu,"Microsoft Research, Redmond, WA, USA",16,6,https://dblp.org/pid/31/5916-1,https://orcid.org/0000-0002-0757-4600
Emmett Witchel,Witchel,,15,5,https://dblp.org/pid/76/6082,https://orcid.org/0000-0002-1391-2880
Junfeng Yang,Yang,,15,0,https://dblp.org/pid/71/3724,
Amin Vahdat,Vahdat,Google,15,1,https://dblp.org/pid/v/AminVahdat,https://orcid.org/0000-0002-4866-1698
Yuanyuan Zhou,Zhou,"University of California, San Diego, CA, USA",15,1,https://dblp.org/pid/99/2747-1,https://orcid.org/0000-0003-4760-7208
Rong Chen,Chen,"Shanghai Jiao Tong University, Institute of Parallel and Distributed Systems, China",15,9,https://dblp.org/pid/22/6904-1,https://orcid.org/0000-0002-6115-8130
Robert Morris,Morris,"Massachusetts Institute of Technology (MIT), Cambridge, MA, USA",15,1,https://dblp.org/pid/82/11191,https://orcid.org/0009-0009-6885-0208
Lorenzo Alvisi,Alvisi,"University of Texas at Austin, USA",15,3,https://dblp.org/pid/a/LAlvisi,https://orcid.org/0000-0002-9857-5528
Brian N. Bershad,Bershad,"University of Washington, Seattle, Washington, USA",15,0,https://dblp.org/pid/b/BNBershad,
Taesoo Kim,Kim,,14,4,https://dblp.org/pid/38/8882,
Simon Peter,Peter,"University of Washington, Seattle, WA, USA",14,5,https://dblp.org/pid/43/3917,https://orcid.org/0009-0007-4748-8524
Arvind Krishnamurthy,Krishnamurthy,"University of Washington, Seattle, Washington, USA",14,4,https://dblp.org/pid/k/AKrishnamurthy,
Jon Howell,Howell,,13,3,https://dblp.org/pid/55/3274,
Sanidhya Kashyap,Kashyap,,13,8,https://dblp.org/pid/145/0912,
Roger M. Needham,Needham,Microsoft Research,13,0,https://dblp.org/pid/n/RogerNeedham,
Bryan Ford,Ford,"Swiss Federal Institute of Technology in Lausanne (EPFL), Switzerland",13,1,https://dblp.org/pid/f/BryanFord,https://orcid.org/0000-0002-0528-3033
Michael Dahlin,Dahlin,"University of Texas at Austin, USA",13,0,https://dblp.org/pid/d/MDahlin,
Miguel Castro,Castro,"Microsoft Research, Cambridge, UK",13,0,https://dblp.org/pid/c/MiguelCastro,
Xin Jin,Jin,"Peking University, China",13,8,https://dblp.org/pid/68/3340-8,https://orcid.org/0000-0001-8741-5847
Larry L. Peterson,Peterson,"Princeton University, USA",13,0,https://dblp.org/pid/p/LLPeterson,
Xi Wang,Wang,"University of Washington, Seattle, WA, USA",13,0,https://dblp.org/pid/08/5760-5,
Eddie Kohler,Kohler,Harvard University,13,1,https://dblp.org/pid/78/5231,https://orcid.org/0000-0003-2027-0035
Scott Shenker,Shenker,"University of California, Berkeley, USA",13,2,https://dblp.org/pid/34/5593,https://orcid.org/0000-0002-1357-7533
Peter Druschel,Druschel,Max Planck Institute for Software Systems,13,1,https://dblp.org/pid/d/PDruschel,https://orcid.org/0000-0002-7239-1114
Chunqiang Tang,Tang,,12,10,https://dblp.org/pid/81/4301,
Michael Stumm,Stumm,,12,1,https://dblp.org/pid/82/5150,
Manos Kapritsos,Kapritsos,,12,4,https://dblp.org/pid/23/6695,https://orcid.org/0000-0002-4368-7418
Kaushik Veeraraghavan,Veeraraghavan,,12,3,https://dblp.org/pid/52/1896,
Wyatt Lloyd,Lloyd,,12,2,https://dblp.org/pid/21/1059,
Tianyin Xu,Xu,"University of Illinois at Urbana-Champaign, Department of Computer Science, Urbana, IL, USA",12,7,https://dblp.org/pid/90/7566,https://orcid.org/0000-0003-4443-8170
Dawson R. Engler,Engler,"Stanford University, USA",12,0,https://dblp.org/pid/e/DREngler,
